date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:01	99221/99221	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2007:23:59%20GMT	https://www.raywenderlich.com/149239/htc-vive-tutorial-unity	C:/Users/mickz/Desktop/Stack/Coderdojo/2018-05%20Coderdojo%20HTC%20Vive/HTCViveRayWenderlich/www.raywenderlich.com/149239/htc-vive-tutorial-unity.html	(from )
09:24:01	132/132	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2021%20May%202018%2007:24:00%20GMT	https://www.raywenderlich.com/robots.txt		(from )
09:24:02	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2021%20May%202018%2007:24:00%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/mickz/Desktop/Stack/Coderdojo/2018-05%20Coderdojo%20HTC%20Vive/HTCViveRayWenderlich/www.googletagmanager.com/gtm.15445.delayed	(from https://www.raywenderlich.com/149239/htc-vive-tutorial-unity)
09:24:02	229550/229550	---MCZ	200	added ('OK')	text/css	date:Fri,%2018%20May%202018%2013:14:55%20GMT	https://koenig-assets.raywenderlich.com/wp-content/themes/raywenderlich/style.min.css?ver=1526649281	C:/Users/mickz/Desktop/Stack/Coderdojo/2018-05%20Coderdojo%20HTC%20Vive/HTCViveRayWenderlich/koenig-assets.raywenderlich.com/wp-content/themes/raywenderlich/style.min4e40.css	(from https://www.raywenderlich.com/149239/htc-vive-tutorial-unity)
09:24:02	794/794	---M--	200	added ('OK')	text/css	etag:%225ad8051b-31a%22	https://koenig-assets.raywenderlich.com/wp-content/themes/raywenderlich/styles/highlight.js.atom-one-light.min.css?ver=9.11.0	C:/Users/mickz/Desktop/Stack/Coderdojo/2018-05%20Coderdojo%20HTC%20Vive/HTCViveRayWenderlich/koenig-assets.raywenderlich.com/wp-content/themes/raywenderlich/styles/highlight.js.atom-one-light.mine592.css	(from https://www.raywenderlich.com/149239/htc-vive-tutorial-unity)
09:24:02	3955/3955	---M--	200	added ('OK')	text/css	etag:%225a82bb67-f73%22	https://koenig-assets.raywenderlich.com/wp-content/plugins/swiftype-search/assets/autocomplete.css?ver=4.9.5	C:/Users/mickz/Desktop/Stack/Coderdojo/2018-05%20Coderdojo%20HTC%20Vive/HTCViveRayWenderlich/koenig-assets.raywenderlich.com/wp-content/plugins/swiftype-search/assets/autocomplete55fe.css	(from https://www.raywenderlich.com/149239/htc-vive-tutorial-unity)
09:24:03	374/374	---M--	200	added ('OK')	text/css	etag:%225a82bb67-176%22	https://koenig-assets.raywenderlich.com/wp-content/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70	C:/Users/mickz/Desktop/Stack/Coderdojo/2018-05%20Coderdojo%20HTC%20Vive/HTCViveRayWenderlich/koenig-assets.raywenderlich.com/wp-content/plugins/wp-pagenavi/pagenavi-css44fd.css	(from https://www.raywenderlich.com/149239/htc-vive-tutorial-unity)
09:24:03	104434/104434	---M--	200	added ('OK')	application/javascript	etag:%225ade0062-197f2%22	https://koenig-assets.raywenderlich.com/wp-content/plugins/swiftype-search/assets/install_swiftype.min.js?ver=4.9.5	C:/Users/mickz/Desktop/Stack/Coderdojo/2018-05%20Coderdojo%20HTC%20Vive/HTCViveRayWenderlich/koenig-assets.raywenderlich.com/wp-content/plugins/swiftype-search/assets/install_swiftype.min55fe.js	(from https://www.raywenderlich.com/149239/htc-vive-tutorial-unity)
09:24:03	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%225ad8051b-17ba0%22	https://koenig-assets.raywenderlich.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/mickz/Desktop/Stack/Coderdojo/2018-05%20Coderdojo%20HTC%20Vive/HTCViveRayWenderlich/koenig-assets.raywenderlich.com/wp-includes/js/jquery/jqueryb8ff.js	(from https://www.raywenderlich.com/149239/htc-vive-tutorial-unity)
09:24:03	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%225ade0064-2748%22	https://koenig-assets.raywenderlich.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/mickz/Desktop/Stack/Coderdojo/2018-05%20Coderdojo%20HTC%20Vive/HTCViveRayWenderlich/koenig-assets.raywenderlich.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.raywenderlich.com/149239/htc-vive-tutorial-unity)
